ARDR,ARK,REP,BCH,BTC,BCC,BCN,ADA,DASH,DCR,EOS,ETC,ETH,GAS,GNT,MIOTA,KMD,LSK,LTC,MAID,XMR,XEM,NEO,OMG,PIVX,QTUM,XRP,STEEM,XLM,STRAT,PAY,USDT,WAVES,ZEC
4.24,7.7,-0.67,-10.71,4.1,7.16,2.93,1.64,-0.96,6.13,2.52,-6.59,0.14,0.94,3.05,2.61,0.14,11.96,1.68,-0.04,-2.7,4.16,1.59,7.08,-0.68,-1.85,0.38,2.7,-0.11,2.75,-1.03,0.36,7.43,3.46
4.7,7.84,-0.59,-10.66,4.46,7.31,3.26,1.6,-0.67,5.79,2.31,-6.54,-0.05,0.45,2.49,2.54,1.52,12.16,1.68,-0.04,-2.05,4.15,2.02,7.13,-0.76,-1.64,0.38,2.09,-0.31,2.45,-1.84,-0.5,7.27,3.63
4.93,8.77,1.05,-12.27,6.09,8.26,4.61,3.08,1.54,7.05,2.61,-6.33,0.18,1.26,3.5,2.86,2.44,12.0,2.28,1.84,-0.93,4.82,2.61,7.82,-0.07,-1.35,0.65,2.95,1.48,3.48,-2.55,0.14,8.23,3.51
5.92,11.05,0.38,-9.84,4.38,8.93,4.25,3.92,1.52,7.39,2.94,-6.37,0.19,1.95,3.53,3.42,3.19,12.7,2.31,1.56,-1.22,4.7,2.6,7.05,1.19,-1.17,0.62,3.35,1.24,3.9,-0.08,0.07,8.62,3.46
4.63,10.34,0.03,-10.99,5.22,8.19,3.99,3.31,2.2,6.86,2.68,-6.37,-0.07,1.15,3.04,2.76,2.14,12.36,1.95,0.57,-0.54,4.24,2.07,6.41,0.21,-1.22,0.22,3.2,0.76,3.39,-0.62,-0.07,7.69,3.08
5.23,10.57,0.34,-9.24,4.12,8.87,5.06,3.45,2.31,6.54,3.08,-6.02,-0.06,1.53,3.09,2.2,2.53,13.12,2.12,1.12,-0.03,4.08,2.92,6.71,0.93,-1.12,0.39,3.77,1.57,4.25,1.19,-0.2,8.44,3.45
5.23,10.57,0.34,-9.24,4.12,8.87,4.34,3.45,1.78,6.54,3.08,-6.02,-0.06,1.53,3.09,2.2,2.53,13.12,1.75,0.59,0.12,4.08,2.92,6.71,0.93,-1.12,0.38,3.77,0.81,4.25,1.19,-0.55,8.44,3.45
4.84,8.9,0.18,-7.32,4.39,8.39,4.71,2.96,1.67,5.69,2.8,-5.59,-0.4,0.66,3.08,2.24,2.21,12.42,1.85,0.88,0.65,4.1,2.54,7.06,-0.23,-1.45,0.38,2.94,0.85,4.32,0.42,-0.04,7.86,2.94
4.99,7.78,0.26,-5.72,4.12,8.34,4.01,2.96,1.43,6.24,2.75,-5.89,-0.54,0.69,3.14,2.04,2.08,12.23,1.74,1.29,0.79,4.13,2.64,7.17,-0.34,-1.46,0.19,3.04,0.31,4.34,0.37,-0.16,7.77,3.3
4.89,8.0,0.28,-5.11,4.39,8.15,3.97,2.45,1.26,5.67,2.62,-6.15,-0.67,0.36,2.74,1.86,2.64,11.58,1.66,0.5,0.64,3.27,2.75,7.12,-0.61,-1.37,0.01,2.72,0.58,4.24,-0.64,-0.04,7.54,2.95
4.85,8.1,0.48,1.92,1.87,8.41,4.6,2.62,0.98,6.23,2.9,-6.49,-0.69,1.19,2.69,3.1,2.31,11.04,1.58,1.35,-0.91,3.44,2.71,6.65,-0.44,-1.4,0.29,3.1,0.1,4.18,0.1,-1.04,7.83,3.4
4.85,8.1,0.48,1.92,1.87,8.41,4.6,2.62,0.98,6.23,2.9,-6.49,-0.69,1.19,2.69,3.1,2.31,11.04,1.58,1.35,-0.91,3.44,2.71,6.65,-0.44,-1.4,0.29,3.1,0.1,4.18,0.1,-1.04,7.83,3.4
3.32,6.97,0.38,2.02,4.4,7.22,3.22,1.32,-0.3,4.07,2.71,-6.97,-0.67,-0.37,2.72,2.45,1.47,10.12,1.48,0.16,-2.44,2.04,2.05,5.82,-1.39,-1.56,-0.17,1.56,-1.2,2.53,-0.82,1.78,6.6,2.15
3.5,6.85,0.63,5.77,3.08,7.23,3.4,0.71,-0.03,3.73,2.69,-6.83,-0.7,-0.76,2.59,2.26,1.49,9.94,1.37,0.36,-2.52,1.76,2.23,5.24,-1.36,-1.62,-0.24,1.63,-1.24,1.58,-0.89,0.6,6.87,2.03
3.5,6.85,0.63,5.77,3.08,7.23,3.4,0.71,-0.03,3.73,2.69,-6.83,-0.7,-0.76,2.59,2.26,1.49,9.94,1.37,0.36,-2.52,1.76,2.23,5.24,-1.36,-1.62,-0.24,1.63,-1.24,1.58,-0.89,0.6,6.87,2.03
1.55,5.4,0.07,5.92,4.36,6.0,2.58,-0.35,-1.65,2.21,2.39,-7.42,-0.55,-1.85,2.07,0.87,0.37,9.03,0.45,-0.45,-3.06,1.43,0.66,3.88,-2.64,-1.66,-0.53,1.19,-2.36,0.46,-2.43,1.59,5.6,0.54
2.43,6.31,0.66,3.9,4.0,6.98,3.57,0.84,-1.54,3.0,2.94,-7.26,-0.31,-0.39,3.3,1.69,0.58,10.19,0.86,0.39,-1.85,2.17,0.77,4.21,-1.76,-1.32,-0.28,2.19,-1.49,1.33,-1.82,1.04,6.37,1.15
2.48,6.72,0.72,1.9,4.09,7.17,3.72,2.01,-0.84,3.1,2.65,-6.96,0.23,-0.19,3.48,0.93,1.74,10.1,1.19,1.05,-2.04,1.74,0.83,3.97,-1.66,-1.03,-0.36,2.84,-1.02,1.41,-0.59,0.94,6.01,1.15
2.73,7.28,0.92,2.43,3.96,7.62,4.43,1.73,-1.25,3.12,2.7,-6.89,0.15,-0.26,3.49,2.81,2.13,9.81,1.15,1.13,-2.95,1.91,1.34,4.49,-1.38,-0.93,-0.36,2.2,-0.59,1.74,0.19,0.3,6.6,1.43
1.52,7.99,1.48,4.14,2.64,7.57,4.18,1.41,-0.66,2.11,2.63,-6.7,0.05,-1.34,3.12,3.13,1.51,9.79,1.04,0.95,-2.52,1.99,0.81,4.98,-1.08,-0.98,0.01,2.87,-0.55,1.71,-0.31,0.03,6.5,1.13
0.71,6.73,0.83,2.26,3.9,6.86,3.22,0.68,-0.73,1.12,2.41,-6.76,0.29,-1.63,2.61,2.88,1.1,8.64,0.96,0.1,-3.74,1.28,0.3,5.05,-1.79,-0.91,-0.14,2.07,-1.33,0.76,-0.57,0.84,5.65,0.94
1.5,7.84,0.09,5.48,2.24,7.31,4.51,1.59,-0.97,0.88,3.04,-6.78,0.16,-1.15,2.83,3.23,2.32,9.12,1.14,0.52,-3.64,1.58,0.78,5.71,-1.62,-0.74,-0.3,1.47,-0.92,1.62,-0.94,-0.28,5.77,1.24
1.03,7.02,-0.31,9.34,2.51,7.11,4.08,1.36,-0.81,1.83,2.78,-6.8,-0.04,-1.13,2.77,1.43,1.06,9.0,0.96,0.36,-3.78,1.26,0.68,4.96,-1.7,-0.89,-0.18,1.91,-1.38,1.44,-1.07,0.17,5.69,1.23
0.24,5.44,-0.55,5.89,3.95,6.79,4.27,1.41,-1.02,0.24,2.68,-6.73,0.46,-0.94,3.07,0.35,1.02,8.58,0.83,0.19,-3.62,0.91,-0.13,5.11,-1.9,-0.69,-0.32,1.74,-2.65,1.61,-1.48,1.5,5.65,0.96
0.24,5.44,-0.55,5.89,3.95,6.79,4.27,1.41,-1.02,0.24,2.68,-6.73,0.46,-0.94,3.07,0.35,1.02,8.58,0.83,0.19,-3.62,0.91,-0.13,5.11,-1.9,-0.69,-0.32,1.74,-2.65,1.61,-1.48,1.5,5.65,0.96
2.39,9.06,0.9,-3.12,7.94,8.8,5.42,3.54,0.47,2.39,2.68,-6.09,0.84,-0.42,4.26,0.36,3.71,10.17,1.82,2.1,-2.64,3.39,1.31,6.42,0.35,-0.22,0.29,2.15,-1.0,3.81,-0.77,1.59,7.34,2.2
3.32,9.33,1.47,-0.9,5.83,10.37,7.97,5.27,0.67,3.04,3.37,-5.67,0.95,1.32,5.32,0.74,5.13,12.0,2.24,3.96,-2.77,4.08,2.49,7.04,2.57,-0.39,0.55,3.41,1.1,5.42,0.87,0.24,8.59,3.04
3.32,9.33,1.47,-0.9,5.83,10.37,7.97,5.27,0.67,3.04,3.37,-5.67,0.95,1.32,5.32,0.74,5.13,12.0,2.24,3.96,-2.77,4.08,2.49,7.04,2.57,-0.39,0.55,3.41,1.1,5.42,0.87,0.24,8.59,3.04
4.03,8.46,1.28,1.17,4.78,9.72,8.21,4.56,0.83,3.18,3.48,-5.88,0.6,0.95,5.27,1.0,4.04,12.44,1.79,3.38,-2.62,5.54,1.65,6.65,1.25,-0.24,0.3,2.91,1.34,5.22,0.37,0.17,8.05,2.8
3.0,7.66,1.36,-1.86,6.41,9.2,7.35,3.48,1.02,2.29,3.27,-5.94,0.76,0.76,4.76,-0.07,3.58,12.15,1.66,2.7,-2.72,4.03,0.97,6.61,1.47,-0.41,-0.09,3.49,1.34,4.72,-0.21,0.9,7.18,2.38
3.02,8.09,1.56,-0.61,5.26,9.99,7.96,4.25,2.14,3.57,3.3,-5.69,0.77,2.19,5.42,-0.63,4.37,13.32,1.87,3.32,-1.17,4.97,1.58,6.85,1.39,-0.19,0.3,4.26,1.95,5.31,0.61,0.28,7.57,2.64
2.28,7.43,2.13,-1.48,6.02,9.76,8.41,4.16,2.65,3.37,3.15,-5.4,0.87,2.2,4.97,-1.84,3.69,13.33,1.92,3.39,-0.8,4.88,1.74,7.23,2.45,-0.37,0.15,4.73,1.79,5.19,0.51,0.57,7.56,3.5
2.71,8.27,2.16,-1.4,6.28,10.25,8.65,4.68,2.62,3.71,3.26,-5.33,1.03,2.43,4.5,-2.82,4.03,13.66,1.86,3.27,-0.17,5.96,2.31,7.61,2.87,-0.15,0.26,4.99,2.19,5.67,0.89,0.68,7.82,4.01
2.96,7.61,2.21,2.25,4.82,10.14,8.29,4.75,2.81,3.8,3.8,-5.22,0.74,1.81,4.52,-2.26,3.76,13.67,1.73,3.44,-1.31,5.36,2.18,7.51,2.77,-0.66,0.13,4.62,2.46,6.39,0.82,0.04,7.79,4.13
2.63,7.27,2.31,-0.07,6.64,9.88,7.76,4.0,3.06,2.87,3.8,-5.07,0.96,1.54,4.36,-2.19,4.21,14.05,1.81,3.63,-0.76,5.24,2.17,7.32,2.59,-0.63,0.17,4.01,2.43,5.76,1.73,1.8,7.47,4.0
2.53,7.07,2.01,-1.17,6.61,9.93,7.27,4.12,4.06,2.67,3.81,-4.75,0.99,1.45,4.78,-3.21,3.38,14.24,1.9,3.37,-1.08,5.08,2.34,7.13,2.64,-0.49,0.3,3.61,2.19,5.67,0.7,1.06,7.44,3.9
3.17,7.69,2.59,-1.65,6.67,10.7,7.98,5.02,4.53,3.82,4.39,-4.26,0.88,2.78,5.36,-3.56,3.79,15.92,1.91,3.93,-0.86,6.26,2.82,7.6,5.44,-0.3,0.4,4.7,2.77,6.58,2.12,0.74,8.01,4.16
3.07,8.71,2.39,-2.13,6.85,10.92,8.38,5.48,7.46,4.04,3.66,-4.19,0.97,2.88,5.03,-3.71,3.47,16.04,2.14,3.87,-0.52,6.22,2.91,8.14,3.72,-0.41,0.51,5.13,2.9,5.93,1.85,0.53,8.4,4.79
3.07,8.71,2.39,-2.13,6.85,10.92,7.52,5.48,4.66,4.04,3.66,-4.19,0.97,2.88,5.03,-3.71,3.47,16.04,2.01,4.02,-1.11,5.27,2.91,8.14,3.72,-0.41,0.35,5.13,2.78,5.93,1.85,0.24,8.4,4.79
