ARDR,ARK,REP,BCH,BTC,BCC,BCN,ADA,DASH,DCR,EOS,ETC,ETH,GAS,GNT,MIOTA,KMD,LSK,LTC,MAID,XMR,XEM,NEO,OMG,PIVX,QTUM,XRP,STEEM,XLM,STRAT,PAY,USDT,WAVES,ZEC
0.208213,2.88115,17.8472,1278.06,6450.04,246.388,0.00114235,0.0250097,422.747,31.8408,1.15451,15.6473,313.608,19.7287,0.201742,0.600069,2.00908,6.10324,60.6142,0.407039,123.03,0.187989,27.8877,7.32439,3.10564,11.2036,0.20186,0.891747,0.03027,3.13088,1.58808,1.00798,4.18784,266.185
0.209148,2.88393,17.8503,1276.46,6468.06,246.588,0.0011449,0.0249673,423.983,31.767,1.15201,15.6607,313.368,19.6315,0.200911,0.599659,2.03689,6.11791,60.6142,0.407039,123.588,0.188073,28.0135,7.32707,3.10391,11.2306,0.20186,0.886495,0.0302019,3.12231,1.57522,0.99898,4.18204,266.879
0.209723,2.90818,18.1167,1250.87,6559.76,248.565,0.00115834,0.0253056,433.385,32.1919,1.15406,15.7044,314.493,19.7812,0.203043,0.600641,2.05405,6.11158,60.9946,0.414668,124.819,0.189602,28.1833,7.37552,3.12337,11.2593,0.202535,0.893706,0.0307223,3.15437,1.5641,1.00575,4.22186,266.921
0.211968,2.96895,17.9856,1277.29,6450.03,249.93,0.00115307,0.0254861,433.159,32.3411,1.15646,15.7164,315.029,19.9096,0.203335,0.603189,2.0677,6.15495,61.0321,0.413481,124.365,0.189596,28.1877,7.3262,3.16217,11.2655,0.202519,0.89692,0.0306358,3.16719,1.60393,1.00507,4.23812,267.37
0.209563,2.95165,17.9104,1255.65,6502.31,248.103,0.00114958,0.025304,435.845,32.2635,1.15345,15.7271,314.286,19.7559,0.202464,0.599639,2.04685,6.13906,60.8406,0.409506,125.118,0.188995,28.0524,7.28391,3.13805,11.254,0.201802,0.89515,0.030498,3.15164,1.5965,1.00411,4.20457,266.611
0.210903,2.95689,17.9572,1274.98,6434.45,249.6,0.00116042,0.0253513,436.262,32.1681,1.15783,15.7835,314.684,19.837,0.202703,0.596426,2.05459,6.18333,60.9681,0.411831,125.667,0.189167,28.2952,7.30564,3.1615,11.2591,0.202239,0.89999,0.0307401,3.17934,1.626,1.003,4.23585,267.699
0.210903,2.95689,17.9572,1274.98,6434.45,249.6,0.00115192,0.0253513,433.929,32.1681,1.15783,15.7835,314.684,19.837,0.202703,0.596426,2.05459,6.18333,60.7616,0.409762,125.79,0.189167,28.2952,7.30564,3.1615,11.2591,0.202303,0.89999,0.0305141,3.17934,1.626,0.999377,4.23585,267.699
0.210379,2.91667,17.912,1293.95,6448.37,248.45,0.00115554,0.0252199,433.734,32.0019,1.15489,15.8597,313.824,19.6844,0.202898,0.596921,2.04808,6.151,60.849,0.411081,126.435,0.189545,28.1954,7.33194,3.12649,11.2152,0.202437,0.892566,0.0305321,3.18155,1.61453,1.00395,4.21686,266.949
0.210906,2.88799,17.9262,1308.63,6430.31,248.294,0.00114698,0.0252199,433.133,32.168,1.15416,15.8153,313.562,19.7019,0.203233,0.595564,2.04455,6.14672,60.7947,0.412799,126.638,0.189889,28.2244,7.34133,3.12404,11.2118,0.202178,0.893058,0.0303686,3.18128,1.61425,1.00314,4.21557,267.969
0.210909,2.89513,17.9135,1312.67,6446.15,247.706,0.00114527,0.0251055,432.319,32.0391,1.15216,15.7735,313.48,19.6544,0.202591,0.594774,2.05477,6.11489,60.7734,0.409572,126.544,0.188382,28.2623,7.34243,3.11729,11.2207,0.201926,0.890435,0.0304531,3.17776,1.59877,1.00396,4.20776,267.002
0.210903,2.89774,17.9456,1409.94,6282.13,248.216,0.00115124,0.0251482,431.407,32.2289,1.15537,15.7202,313.425,19.8205,0.2025,0.602052,2.04681,6.08728,60.7621,0.412781,124.701,0.188851,28.252,7.31209,3.12259,11.215,0.202566,0.89354,0.0303092,3.17595,1.61124,0.993944,4.22271,268.115
